Prezzo,Locali,Superficie,Bagni,Piano
225000,2,50,1,1
400000,3,60,1,3
500000,3,89,2,3
574000,4,89,2,5
300000,2,46,1,4
425000,3,72,2,4
669000,5,86,2,4
657000,5,87,2,5
257000,3,61,1,1
325000,2,60,1,3
569000,3,74,2,5
175000,2,52,1,1
217000,2,54,1,5
155000,3,80,1,1
119000,2,65,1,1
315000,3,92,2,5
260000,3,78,2,1
520000,3,105,2,1
695000,6,250,3,3
730000,5,150,2,4
800000,6,220,3,4
1260000,6,225,2,4
1150000,5,160,2,4
1090000,6,190,2,2
720000,6,145,1,1
1080000,6,250,4,3
745000,6,230,3,4
459000,2,85,1,50
339000,3,90,1,4
950000,5,170,1,3
1680000,6,210,2,5
189000,4,168,4,0
2150000,4,150,1,4
730000,3,160,2,-1
850000,6,204,2,3
680000,3,90,1,3
680000,2,70,1,4
199000,4,125,2,1
1600000,6,250,4,3
1700000,6,460,4,0
539000,4,140,2,3
275000,3,72,1,2
670000,6,227,3,3
699000,6,174,3,50
690000,5,140,2,2
269000,3,87,2,2
320000,3,76,1,3
1650000,6,220,3,4
1070000,6,230,4,1
1050000,5,145,2,1
1100000,6,154,1,3
895000,6,200,3,3
800000,3,125,2,5
1650000,6,340,3,4
189000,4,110,2,50
1599000,6,270,4,0.5
1250000,6,140,2,2
850000,5,175,2,50
579000,5,160,2,2
1350000,4,200,2,2
250000,4,110,2,50
255000,4,130,2,1
269000,3,87,2,3
169000,2,58,1,0
3200000,6,212,2,2
620000,2,65,1,3
375000,3,92,1,1
1350000,4,137,2,4
1560000,5,191,3,1
419000,3,100,2,2
450000,5,150,2,3
795000,5,115,1,2
119000,2,55,1,0
1050000,6,235,3,3
239000,3,87,1,-1
670000,6,180,2,1
2950000,6,250,4,3
940000,6,200,3,50
235000,2,56,1,4
549000,5,85,2,2
2500000,6,300,3,2
135000,2,60,1,5
695000,4,100,2,2
1050000,6,290,2,0.5
370000,4,139,2,5
549000,3,109,2,1
279000,3,100,2,1
739000,5,150,2,0
325000,3,100,2,5
1250000,5,185,3,0
390000,3,93,1,2
229000,2,70,1,5
499000,5,159,1,4
1300000,4,115,2,9
339000,2,70,1,3
1600000,6,340,4,2
3700000,6,250,4,5
1570000,6,260,4,0.5
1100000,6,250,4,1
849000,4,127,1,2
655000,4,93,1,4
398000,3,130,2,0
259000,2,55,1,50
499000,6,123,2,3
650000,6,193,3,4
449000,4,120,2,4
279000,3,120,1,5
395000,6,130,2,1
139000,2,60,1,0
385000,3,100,3,2
350000,4,138,1,4
930000,6,150,2,3
690000,4,127,2,1
1100000,6,225,4,3
650000,4,130,2,1
1499000,6,250,4,1
1300000,5,170,3,2
519000,4,150,3,3
375000,3,120,1,3
249000,2,75,1,1
850000,6,183,2,2
215000,2,52,1,2
480000,2,60,1,0.5
380000,2,60,1,0
660000,5,148,2,0.5
820000,6,209,2,4
4200000,6,400,4,3
328000,3,98,2,0
245000,2,77,1,2
1290000,6,210,2,50
329000,5,122,2,1
95000,2,120,1,0
530000,4,96,1,4
1450000,6,321,4,1
285000,3,80,1,2
239000,3,110,2,2
1140000,6,260,4,1
450000,3,90,2,1
1790000,6,250,4,3
430000,2,68,1,3
230000,3,105,2,2
